Name,Price,Gender,URL,  
Nike Air Max 90 Surplus,140,Men,https://www.nike.com/t/air-max-90-surplus-mens-shoes-T592sW/CQ7743-001,
KD14,160,Men,https://www.nike.com/t/kd14-basketball-shoe-rDCPfZ/DO6903-400,
Nike Mercurial Superfly 8 Elite FG,275,Men,https://www.nike.com/t/mercurial-superfly-8-elite-fg-firm-ground-soccer-cleats-DBtHQg/CV0958-403,
Nike Air Zoom Victory Tour 2,180,Men,https://www.nike.com/t/air-zoom-victory-tour-2-golf-shoes-QNxK3G/CW8155-008,
Nike Force Savage Varsity 2,85.97,Men,https://www.nike.com/t/force-savage-varsity-2-mens-football-cleats-Xrm9B1/AQ8155-100,
Nike Offcourt (Oregon),35,Men,https://www.nike.com/t/offcourt-oregon-slide-cbtPFt/DD0538-001,
Nike Juniper Trail,70,Men,https://www.nike.com/t/juniper-trail-mens-trail-running-shoes-MCKdXS/CW3808-001,
Nike Mercurial Vapor 14 Pro FG,140,Men,https://www.nike.com/t/mercurial-vapor-14-pro-fg-firm-ground-soccer-cleat-LLcLV8/CU5693-403,
Nike Air Max Excee,90,Men,https://www.nike.com/t/air-max-excee-mens-shoes-vl97pm/DM0832-001,
Nike Benassi JDI,23.97,Men,https://www.nike.com/t/benassi-jdi-mens-slides-JMOEGm/343880-100,
Nike Blazer Mid '77 Cozi By You,130,Men,https://www.nike.com/u/custom-nike-blazer-77-cozi-by-you-10001133/4946387316,
Nike Alpha Huarache Elite 3 Mid,95,Men,https://www.nike.com/t/alpha-huarache-elite-3-mid-mens-baseball-cleat-Q0wgJ5/CK0745-400,
Nike Vapor Edge Pro 360,113.97,Men,https://www.nike.com/t/vapor-edge-pro-360-mens-football-cleats-HXd3nk/AO8277-104,
Nike Revolution 6,65,Men,https://www.nike.com/t/revolution-6-mens-running-shoes-extra-wide-XcXMbX/DD8475-002,
